"Major area, region, country or area of destination",Notes,Country code,Total population of both sexes at mid-year (thousands),,,,,,Total male population at mid-year (thousands),,,,,,Total female population at mid-year (thousands),,,,,
Viet Nam,,704,  68 210,  75 199,  80 286,  84 204,  88 358,  93 448,  33 584,  37 054,  39 551,  41 470,  43 627,  46 224,  34 626,  38 145,  40 734,  42 734,  44 731,  47 223
Southern Asia,,5501, 1 189 261, 1 319 396, 1 451 933, 1 581 124, 1 702 991, 1 822 974,  613 752,  680 956,  749 146,  816 106,  877 821,  938 881,  575 508,  638 440,  702 786,  765 018,  825 170,  884 093
Afghanistan,,4,  12 068,  16 773,  19 702,  24 400,  27 962,  32 527,  6 180,  8 682,  10 147,  12 616,  14 368,  16 774,  5 888,  8 090,  9 555,  11 784,  13 595,  15 753
Bangladesh,,50,  105 983,  118 428,  131 281,  142 930,  151 617,  160 996,  54 175,  60 475,  67 000,  72 793,  76 666,  81 277,  51 808,  57 953,  64 280,  70 137,  74 951,  79 719
Bhutan,,64,   536,   509,   564,   651,   720,   775,   277,   262,   290,   347,   386,   416,   258,   247,   274,   304,   334,   359
India,,356,  870 602,  960 875, 1 053 481, 1 144 326, 1 230 985, 1 311 051,  450 560,  497 499,  545 691,  593 104,  638 355,  679 548,  420 042,  463 376,  507 790,  551 223,  592 630,  631 502
Iran (Islamic Republic of),,364,  56 169,  60 319,  65 850,  70 122,  74 253,  79 109,  28 617,  30 591,  33 373,  35 797,  37 543,  39 835,  27 552,  29 728,  32 477,  34 326,  36 711,  39 274
Maldives,,462,   223,   254,   280,   305,   333,   364,   114,   129,   142,   153,   167,   182,   109,   125,   138,   152,   166,   181
Nepal,,524,  18 742,  21 391,  23 740,  25 507,  26 876,  28 514,  9 299,  10 796,  11 806,  12 641,  13 091,  13 816,  9 443,  10 595,  11 935,  12 866,  13 785,  14 697
Pakistan,,586,  107 608,  122 600,  138 250,  153 356,  170 044,  188 925,  55 779,  63 357,  71 330,  79 029,  87 415,  97 052,  51 829,  59 243,  66 921,  74 327,  82 629,  91 873
Sri Lanka,,144,  17 331,  18 248,  18 784,  19 526,  20 201,  20 715,  8 750,  9 166,  9 369,  9 626,  9 830,  9 979,  8 580,  9 083,  9 415,  9 900,  10 371,  10 736
Western Asia,,922,  148 552,  166 656,  184 957,  205 806,  232 703,  257 231,  75 414,  84 927,  94 139,  105 653,  121 092,  134 169,  73 138,  81 729,  90 818,  100 153,  111 610,  123 063
